         2956369 function calls (2901761 primitive calls) in 9.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       91    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
       18    0.000    0.000    0.000    0.000 core.py:905(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       16    0.000    0.000    0.000    0.000 utils.py:380(__getitem__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:785(_construct_lookups)
       14    0.000    0.000    0.000    0.000 Font.py:38(is_default)
        9    0.000    0.000    0.000    0.000 utils.py:402(__setitem__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        8    0.000    0.000    0.002    0.000 lexer.py:296(__init__)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
       15    0.000    0.000    0.000    0.000 compiler.py:519(signature)
    20/19    0.000    0.000    0.008    0.000 parser.py:389(parse_condexpr)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
       18    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:433(_construct_char_code_lookup)
       12    0.000    0.000    0.003    0.000 parser.py:356(parse_assign_target)
        8    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       27    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
    35/34    0.000    0.000    0.014    0.000 parser.py:380(parse_expression)
       32    0.000    0.000    0.000    0.000 compiler.py:255(__init__)
        1    0.000    0.000    0.012    0.012 lexer.py:410(__init__)
        1    0.000    0.000    0.000    0.000 _internal.py:191(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 visitor.py:10(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
       10    0.000    0.000    0.000    0.000 ntpath.py:63(join)
